Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 19:22:25 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"5076","NC50SE 15","Allt Na Fearna Beag","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258670","902270","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 5867 0227","http://canmore.org.uk/site/5076",
"5087","NC50SE 25","Torroble","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259340","904380","HIGHLAND","SUTHERLAND","LAIRG","NC 5934 0438","http://canmore.org.uk/site/5087",
"5098","NC50SE 35","Achinduich","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258520","900320","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 5852 0032","http://canmore.org.uk/site/5098",
"5100","NC50SE 37","Allt Na Fearna Mor","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258600","901850","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 5860 0185","http://canmore.org.uk/site/5100",
"5103","NC50SE 4","Torroboll Burn, North","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","259800","904000","HIGHLAND","SUTHERLAND","LAIRG","NC 598 040","http://canmore.org.uk/site/5103",
"5107","NC50SE 43","Cnoc An Achaidh Mhoir","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258260","902150","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 5826 0215","http://canmore.org.uk/site/5107",
"5108","NC50SE 44","Allt Na Fearna Mor","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258710","901970","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 5871 0197","http://canmore.org.uk/site/5108",
"5109","NC50SE 45","Allt Na Fearna Mor, North","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258400","902000","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 584 020","http://canmore.org.uk/site/5109",
"5116","NC50SE 51","The Cashel, Lairg","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258029","904918","HIGHLAND","SUTHERLAND","LAIRG","NC 58029 04918","http://canmore.org.uk/site/5116",
"5119","NC50SE 54","Pitarxie","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","257740","904070","HIGHLAND","SUTHERLAND","LAIRG","NC 5774 0407","http://canmore.org.uk/site/5119",
"5122","NC50SE 57","Rhian Breck","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259690","904320","HIGHLAND","SUTHERLAND","LAIRG","NC 5969 0432","http://canmore.org.uk/site/5122",
"5139","NC50SW 1","Durcha","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","250700","902300","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 507 023","http://canmore.org.uk/site/5139",
"5197","NC51NW 7","Shinness","Cairn(S) (Period Unassigned), Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric)","252920","915750","HIGHLAND","SUTHERLAND","LAIRG","NC 5292 1575","http://canmore.org.uk/site/5197",
"5222","NC51SE 3","Shinness Hall","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","255700","912960","HIGHLAND","SUTHERLAND","LAIRG","NC 5570 1296","http://canmore.org.uk/site/5222",
"5233","NC51SE 4","Shinness","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","255000","913800","HIGHLAND","SUTHERLAND","LAIRG","NC 550 138","http://canmore.org.uk/site/5233",
"5282","NC53NE 1","Altnaharra","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","257600","935600","HIGHLAND","SUTHERLAND","FARR","NC 576 356","http://canmore.org.uk/site/5282",
"5294","NC53NW 5","Mudale Wood","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","252360","936700","HIGHLAND","SUTHERLAND","FARR","NC 5236 3670","http://canmore.org.uk/site/5294",
"5297","NC53SE 1","Creag A' Mhuilinn","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258840","933440","HIGHLAND","SUTHERLAND","FARR","NC 5884 3344","http://canmore.org.uk/site/5297",
"5299","NC53SE 2","Klibreck Burn","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259090","933390","HIGHLAND","SUTHERLAND","FARR","NC 5909 3339","http://canmore.org.uk/site/5299",
"5304","NC53SE 7","Klibreck","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258610","934090","HIGHLAND","SUTHERLAND","FARR","NC 5861 3409","http://canmore.org.uk/site/5304",
"5306","NC53SE 9","Klibreck","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258100","934170","HIGHLAND","SUTHERLAND","FARR","NC 5810 3417","http://canmore.org.uk/site/5306",
"5351","NC55SE 15","Ribigill","Clearance Cairn(S) (Period Unassigned), House Platform(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258900","953900","HIGHLAND","SUTHERLAND","TONGUE","NC 589 539","http://canmore.org.uk/site/5351",
"5357","NC55SE 20","Uaigh Dhiarmaid","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258800","951600","HIGHLAND","SUTHERLAND","TONGUE","NC 588 516","http://canmore.org.uk/site/5357",
